station,PumpCycle,CO2_umol,closest_hour,month,diff_umol,ebul_umol,date,flux_unit
2,101,757.4277633378812,2022-05-23T17:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,102,1385.5508456930197,2022-05-23T18:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,103,1155.8993125626594,2022-05-23T19:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,104,1563.695083325399,2022-05-23T21:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,105,1422.4375747169029,2022-05-23T22:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,106,2051.394613717108,2022-05-23T23:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,107,1844.0057517059904,2022-05-24T00:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,108,2086.7263058623266,2022-05-24T01:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,109,1693.1699075834465,2022-05-24T02:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,110,1447.722959161743,2022-05-24T03:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,111,1638.380853991207,2022-05-24T04:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,112,1580.5075036987237,2022-05-24T05:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,113,1683.587207810951,2022-05-24T06:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,114,1775.2149656916222,2022-05-24T07:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,115,2252.8134447287875,2022-05-24T08:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,116,1670.7561850831885,2022-05-24T09:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,117,1346.6885340717845,2022-05-24T10:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,118,1211.2685411251937,2022-05-24T11:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,119,1366.0199900920998,2022-05-24T12:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,120,1223.702502584926,2022-05-24T13:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,121,1074.3482758759349,2022-05-24T14:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,122,1218.2751458405214,2022-05-24T15:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,123,1062.088101779447,2022-05-24T16:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,124,699.2255779981764,2022-05-24T17:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,125,1180.238021565028,2022-05-24T18:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,126,674.4622899052647,2022-05-24T19:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
2,127,1219.98141677998,2022-05-24T20:00:00Z,5,NA,NA,2022-05-24,µmol m-2 h-1
3,1,30201.90678094489,2022-05-19T11:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,2,NA,2022-05-19T13:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,3,-3644.193184042013,2022-05-19T14:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,4,NA,2022-05-19T15:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,5,-1079.542391684151,2022-05-19T16:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,6,-1130.8502742708686,2022-05-19T17:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,7,NA,2022-05-19T18:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
3,8,-925.163913505536,2022-05-19T19:00:00Z,5,NA,NA,2022-05-19,µmol m-2 h-1
